0,1050
16,1050
41,1050
66,1050
90,1050
115,1050
140,1050
164,1050
189,1050
214,1050
238,1049
263,1047
287,1046
312,1044
337,1042
361,1040
386,1038
410,1036
435,1034
459,1032
484,1029
508,1027
532,1024
557,1021
581,1018
605,1015
630,1012
654,1009
678,1005
702,1002
726,998
750,994
774,990
798,986
822,982
846,977
870,973
894,968
917,963
941,958
964,952
988,947
1011,941
1034,935
1057,929
1080,923
1103,916
1126,910
1148,903
1171,895
1193,888
1215,881
1237,873
1259,865
1280,856
1301,848
1322,839
1343,830
1364,821
1384,811
1404,801
1423,791
1443,781
1462,771
1480,760
1498,749
1516,738
1533,726
1550,715
1566,703
1581,691
1597,679
1611,667
1625,655
1638,643
1650,630
1662,618
1672,606
1682,594
1690,582
1697,571
1704,563
1711,555
1718,548
1726,542
1733,536
1741,530
1749,525
1757,520
1765,515
1773,510
1781,506
1789,502
1797,498
1806,494
1814,490
1822,487
1830,483
1839,480
1847,477
1856,474
1864,471
1872,468
1889,463
1898,460
1906,458
1915,456
1923,454
1932,451
1940,449
1949,447
1957,445
1966,444
1975,442
1983,440
1992,439
2000,437
2009,435
2017,434
2026,433
2035,431
2043,430
2052,429
2060,427
2069,426
2078,425
2086,424
2095,423
2103,422
2112,421
2121,420
2129,419
2138,418
2147,417
2155,416
2164,416
2172,415
2181,414
2190,413
2198,413
2207,412
2216,411
2224,411
2233,410
2241,410
2250,409
2259,408
2267,408
2276,408
2285,407
2293,407
2302,406
2310,406
2319,405
2328,405
2336,405
2345,404
2354,404
2362,404
2371,403
2380,403
2388,403
2397,402
2405,402
2414,402
2423,402
2431,402
2440,401
2449,401
2457,401
2466,401
2475,401
2483,401
2492,400
2500,400
